Reporting country,Reference period,Item,Item code,Value,Date of extraction (yyyymmdd),Number of submissions per reporting country (NCA) and reference date
AUSTRIA,2016 Q3,Best Estimate,R0540,8260.19,20190319,41
AUSTRIA,2016 Q3,Cash and cash equivalents,R0410,2508.48,20190319,41
AUSTRIA,2016 Q3,Other investments,R0210,30.56,20190319,41
AUSTRIA,2016 Q3,Bonds,R0130,53500.45,20190319,41
AUSTRIA,2016 Q3,Financial liabilities other than debts owed to credit institutions,R0810,566.43,20190319,41
AUSTRIA,2016 Q3,Collective Investments Undertakings,R0180,14747.10,20190319,41
AUSTRIA,2016 Q3,Pension benefit surplus,R0050,49.41,20190319,41
AUSTRIA,2016 Q3,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,62143.52,20190319,41
AUSTRIA,2016 Q3,Assets held for index-linked and unit-linked contracts,R0220,19440.37,20190319,41
AUSTRIA,2016 Q3,Deferred tax assets,R0040,1906.77,20190319,41
AUSTRIA,2016 Q3,Own shares (held directly),R0390,10.86,20190319,41
AUSTRIA,2016 Q3,"Any other liabilities, not elsewhere shown",R0880,618.19,20190319,41
AUSTRIA,2016 Q3,Insurance & intermediaries payables,R0820,596.60,20190319,41
AUSTRIA,2016 Q3,Technical provisions - health (similar to life),R0610,4027.42,20190319,41
AUSTRIA,2016 Q3,Investments (other than assets held for index-linked and unit-linked contracts),R0070,102848.06,20190319,41
AUSTRIA,2016 Q3,Derivatives,R0190,114.14,20190319,41
AUSTRIA,2016 Q3,Intangible assets,R0030,0.00,20190319,41
AUSTRIA,2016 Q3,Insurance and intermediaries receivables,R0360,723.40,20190319,41
AUSTRIA,2016 Q3,Non-life excluding health,R0290,2660.12,20190319,41
AUSTRIA,2016 Q3,Non-life and health similar to non-life,R0280,2941.37,20190319,41
AUSTRIA,2016 Q3,"Property, plant & equipment held for own use",R0060,904.90,20190319,41
AUSTRIA,2016 Q3,Health similar to life,R0320,-6.17,20190319,41
AUSTRIA,2016 Q3,Corporate Bonds,R0150,26115.27,20190319,41
AUSTRIA,2016 Q3,Life index-linked and unit-linked,R0340,373.52,20190319,41
AUSTRIA,2016 Q3,Loans on policies,R0240,46.97,20190319,41
AUSTRIA,2016 Q3,Reinsurance recoverables from:,R0270,4071.49,20190319,41
AUSTRIA,2016 Q3,Deferred tax liabilities,R0780,4158.06,20190319,41
AUSTRIA,2016 Q3,"Receivables (trade, not insurance)",R0380,1874.58,20190319,41
AUSTRIA,2016 Q3,Provisions other than technical provisions,R0750,818.74,20190319,41
AUSTRIA,2016 Q3,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,756.61,20190319,41
AUSTRIA,2016 Q3,Excess of assets over liabilities,R1000,30248.40,20190319,41
AUSTRIA,2016 Q3,Best Estimate,R0630,3149.47,20190319,41
AUSTRIA,2016 Q3,Collateralised securities,R0170,112.46,20190319,41
